NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
ABERU-1,E_ABERDARE,Primary BMU,OCGT,OCGT,BMU,Generation,,51.6975,-3.41613,
ABRBO-1,T_ABRBO-1,Primary BMU,WIND,WIND,BMU,Generation,,57.2167,-1.98333,2505.0
ABRTW-1,E_ABRTW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.62400278889225,-3.984210833480396,4337.0
ACHAI-1,,Primary BMU,WIND,WIND,BMU,Generation,YES,,,
ACHLW-1,C__PSMAR001,Primary BMU,WIND,WIND,EELPS,Generation,,,,
ACHRW-1,T_ACHRW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,56.1292,-5.335,4331.0
AD-JEDF02,,Primary BMU,OCGT,OCGT,BMU,Generation,YES,,,
AD-JEDF03,,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AFTOW-1,T_AFTOW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.3116001968864,-4.17428302347659,4262.0
AG-ADL00B,V__BADEL001,Secondary BMU,OTHER,GAS,BMU,Generation,YES,,,
AG-ADL01M,V__MADEL001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ADL02G,V__GADEL001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ADL03E,V__EADEL001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ADL04H,V__JADEL001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ADL05H,V__HADEL002,Secondary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-AECO01,2__AECOT003,Primary BMU,OTHER,SOLAR,BMU,Generation,,,,
AG-AEDF01,2__ALOND001,Primary BMU,OTHER,SOLAR,BMU,Generation,,,,
AG-AFLX03,2__AFLEX003,Additional Supplier BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-AFLX04,2__AFLEX004,Additional Supplier BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-AFLX05,2__AFLEX005,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-ALIM02,2__AANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ALIM03,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ALIM04,2__AANGE003,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-AOCT01,2__AMRCY001,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ASTK01,2__ASTAT001,Primary BMU,OTHER,DIESEL,BMU,Bi-Directional,,,,
AG-ASTK02,2__ASTAT002,Primary BMU,OTHER,DIESEL,BMU,Bi-Directional,,,,
AG-ASTK03,2__ASTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ASTK04,2__ASTAT004,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ASTK05,2__ASTAT005,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,51.93743731620644,0.11918381345062933,6898.0
AG-ASTK06,2__ASTAT006,Primary BMU,OTHER,DIESEL,BMU,Generation,,,,
AG-ASTK07,2__ASTAT007,Primary BMU,OTHER,DIESEL,BMU,Generation,,,,
AG-ASTK08,2__ASTAT008,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ASTK09,2__ASTAT009,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-AUKP01,2__AUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-AXL00K,,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Bi-Directional,,,,
AG-BEDF03,2__BLOND003,Primary BMU,WIND,WIND,BMU,Generation,,,,
AG-BEDF04,2__BLOND004,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-BEDG01,2__BEDGE001,Additional Supplier BMU,OTHER,SOLAR,BMU,Generation,,,,
AG-BFLX01,2__BFLEX001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-BFLX02,2__BFLEX002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-BFLX03,2__BFLEX003,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-BFLX04,2__BFLEX004,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-BHAR01,2__BPOWQ001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
